No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan,Industry
9,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,348.386.472,Pengembangan,Financials
10,ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,384.000.000,Pengembangan,Financials
11,ASJT,Asuransi Jasa Tania Tbk.,23 Des 2003,1.400.000.000,Pengembangan,Financials
12,ASMI,Asuransi Maximus Graha Persada,16 Jan 2014,8.958.380.460,Pemantauan Khusus,Financials
13,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,1.217.135.360,Pengembangan,Financials
14,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,44.014.333.126,Pengembangan,Financials
15,BACA,Bank Capital Indonesia Tbk.,04 Okt 2007,19.753.494.636,Utama,Financials
16,BBCA,Bank Central Asia Tbk.,31 Mei 2000,122.042.299.500,Utama,Financials
17,BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,21.512.953.877,Utama,Financials
18,BBKP,Bank KB Indonesia Tbk.,10 Jul 2006,185.819.884.852,Pengembangan,Financials
19,BBLD,Buana Finance Tbk.,07 Mei 1990,1.645.796.054,Pengembangan,Financials
20,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,4.049.189.100,Pengembangan,Financials
21,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,36.924.339.786,Utama,Financials
22,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,150.043.411.587,Utama,Financials
23,BBTN,Bank Tabungan Negara (Persero),17 Des 2009,13.894.099.969,Utama,Financials
24,BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,13.216.977.523,Utama,Financials
25,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,42.618.850.927,Utama,Financials
26,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,17.926.071.041,Pemantauan Khusus,Financials
27,BDMN,Bank Danamon Indonesia Tbk.,06 Des 1989,9.675.817.341,Utama,Financials
28,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,51.351.733.883,Pemantauan Khusus,Financials
29,BFIN,BFI Finance  Indonesia Tbk.,16 Mei 1990,15.039.383.620,Utama,Financials
30,BGTG,Bank Ganesha Tbk.,12 Mei 2016,23.731.287.132,Pengembangan,Financials
31,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,6.073.369.498,Utama,Financials
32,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,10.416.229.249,Utama,Financials
33,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,14.865.343.101,Utama,Financials
34,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,34.806.467.881,Pengembangan,Financials
35,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,17.921.635.680,Pengembangan,Financials
36,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,92.399.999.996,Utama,Financials
37,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,3.354.120.000,Pengembangan,Financials
38,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,24.890.783.784,Utama,Financials
39,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,75.357.433.911,Utama,Financials
40,BNLI,Bank Permata Tbk.,15 Jan 1990,35.819.545.925,Utama,Financials
41,BPFI,Woori Finance Indonesia Tbk.,01 Jun 2009,2.673.995.362,Pengembangan,Financials
42,BPII,Batavia Prosperindo Internasio,08 Jul 2014,10.309.973.240,Pengembangan,Financials
43,BSIM,Bank Sinarmas Tbk.,13 Des 2010,19.517.921.842,Utama,Financials
44,BSWD,Bank Of India Indonesia Tbk.,01 Mei 2002,3.651.978.177,Pemantauan Khusus,Financials
45,BTPN,Bank SMBC Indonesia Tbk.,12 Mar 2008,10.536.203.690,Utama,Financials
46,BVIC,Bank Victoria International Tb,30 Jun 1999,18.231.063.844,Utama,Financials
47,CFIN,Clipan Finance Indonesia Tbk.,27 Agt 1990,3.984.520.457,Utama,Financials
48,DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,687.266.666,Pemantauan Khusus,Financials
49,DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,16.867.292.274,Pengembangan,Financials
50,DNET,Indoritel Makmur Internasional,11 Des 2000,14.184.000.000,Pengembangan,Financials
51,GSMF,Equity Development Investment ,23 Okt 1989,14.230.399.705,Pengembangan,Financials
52,HDFA,Radana Bhaskara Finance Tbk.,10 Mei 2011,6.542.445.783,Pengembangan,Financials
53,INPC,Bank Artha Graha Internasional,23 Agt 1990,20.021.178.779,Utama,Financials
54,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,3.000.000.000,Pengembangan,Financials
55,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,2.588.250.000,Pengembangan,Financials
56,MAYA,Bank Mayapada Internasional Tb,29 Agt 1997,25.906.179.152,Utama,Financials
57,MCOR,Bank China Construction Bank I,03 Jul 2007,37.540.533.209,Utama,Financials
58,MEGA,Bank Mega Tbk.,17 Apr 2000,11.623.514.905,Utama,Financials
59,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,517.791.681,Utama,Financials
60,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22.715.776.032,Utama,Financials
61,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,7.403.659.460,Pengembangan,Financials
62,OCAP,Onix Capital Tbk.,10 Okt 2003,273.200.000,Pemantauan Khusus,Financials
63,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,11.307.246.524,Pemantauan Khusus,Financials
64,PALM,Provident Investasi Bersama Tb,08 Okt 2012,15.732.874.458,Pengembangan,Financials
65,PANS,Panin Sekuritas Tbk.,31 Mei 2000,720.000.000,Utama,Financials
66,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,2.833.417.056,Pengembangan,Financials
67,PLAS,Polaris Investama Tbk,16 Mar 2001,1.184.200.000,Pemantauan Khusus,Financials
68,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23.837.645.998,Utama,Financials
69,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,38.425.504.906,Pengembangan,Financials
70,PNIN,Paninvest Tbk.,20 Sep 1983,4.068.323.920,Utama,Financials
71,PNLF,Panin Financial Tbk.,14 Jun 1983,32.022.073.293,Utama,Financials
72,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.341.366.264,Pemantauan Khusus,Financials
73,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,1.800.000.000,Pengembangan,Financials
74,SDRA,Bank Woori Saudara Indonesia 1,15 Des 2006,14.545.267.990,Pengembangan,Financials
75,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,6.367.664.717,Utama,Financials
76,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,13.564.835.000,Utama,Financials
77,STAR,Buana Artha Anugerah Tbk.,13 Jul 2011,4.800.000.602,Pemantauan Khusus,Financials
78,TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,3.552.213.000,Pengembangan,Financials
79,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,7.109.300.000,Utama,Financials
80,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,800.000.000,Pengembangan,Financials
81,VICO,Victoria Investama Tbk.,08 Jul 2013,15.217.075.658,Utama,Financials
82,VINS,Victoria Insurance Tbk.,28 Sep 2015,1.460.573.616,Pengembangan,Financials
83,VRNA,Mizuho Leasing Indonesia Tbk.,25 Jun 2008,5.687.353.997,Pengembangan,Financials
84,WOMF,Wahana Ottomitra Multiartha Tb,13 Des 2004,3.481.481.480,Pengembangan,Financials
85,YULE,Yulie Sekuritas Indonesia Tbk.,10 Des 2004,1.785.000.000,Pengembangan,Financials
86,CASA,Capital Financial Indonesia Tb,19 Jul 2016,54.476.269.803,Pengembangan,Financials
87,BRIS,Bank Syariah Indonesia Tbk.,09 Mei 2018,45.667.877.639,Utama,Financials
88,MTWI,Malacca Trust Wuwungan Insuran,12 Okt 2017,2.924.486.639,Pengembangan,Financials
89,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,1.000.000.000,Pengembangan,Financials
90,NICK,Charnic Capital Tbk.,02 Mei 2018,651.150.000,Pengembangan,Financials
91,BTPS,Bank BTPN Syariah Tbk.,08 Mei 2018,7.626.663.000,Utama,Financials
92,TUGU,Asuransi Tugu Pratama Indonesi,28 Mei 2018,3.555.575.600,Utama,Financials
93,POLA,Pool Advista Finance Tbk.,16 Nov 2018,3.351.075.600,Pemantauan Khusus,Financials
94,SFAN,Surya Fajar Capital Tbk.,19 Jun 2019,1.359.934.021,Pengembangan,Financials
95,LIFE,MSIG Life Insurance Indonesia ,09 Jul 2019,2.100.000.000,Pengembangan,Financials
96,FUJI,Fuji Finance Indonesia Tbk.,09 Jul 2019,1.300.000.000,Pengembangan,Financials
97,AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,18.197.283.760,Pengembangan,Financials
98,AMOR,Ashmore Asset Management Indon,14 Jan 2020,2.222.222.400,Pengembangan,Financials
99,BHAT,Bhakti Multi Artha Tbk.,15 Apr 2020,5.000.000.000,Pengembangan,Financials
100,BBSI,Krom Bank Indonesia Tbk.,07 Sep 2020,3.637.976.068,Utama,Financials
101,BANK,Bank Aladin Syariah Tbk.,01 Feb 2021,14.621.943.806,Pengembangan,Financials
102,MASB,Bank Multiarta Sentosa Tbk.,30 Jun 2021,1.387.737.233,Pengembangan,Financials
103,VTNY,Venteny Fortuna International ,15 Des 2022,6.265.193.445,Pengembangan,Financials
104,YOII,Asuransi Digital Bersama Tbk.,08 Jan 2025,3.424.687.500,Pengembangan,Financials
105,COIN,Indokripto Koin Semesta Tbk.,09 Jul 2025,14.705.882.400,Pengembangan,Financials
1,ACST,Acset Indonusa Tbk.,24 Jun 2013,17.675.160.000,Pengembangan,Infrastructures
2,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,8.407.608.979,Utama,Infrastructures
3,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,3.934.592.500,Utama,Infrastructures
4,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,36.822.665.755,Pemantauan Khusus,Infrastructures
5,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,2.640.452.000,Utama,Infrastructures
6,CASS,Cahaya Aero Services Tbk.,05 Des 2011,2.086.950.000,Utama,Infrastructures
7,CENT,Centratama Telekomunikasi Indo,01 Nov 2001,31.183.464.900,Pengembangan,Infrastructures
8,CMNP,Citra Marga Nusaphala Persada ,10 Jan 1995,6.347.181.543,Utama,Infrastructures
9,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007,5.541.165.000,Pengembangan,Infrastructures
10,EXCL,XLSMART Telecom Sejahtera Tbk.,29 Sep 2005,18.199.862.451,Utama,Infrastructures
11,GOLD,Visi Telekomunikasi Infrastruk,07 Jul 2010,1.277.276.000,Pengembangan,Infrastructures
12,HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,2.120.000.000,Pemantauan Khusus,Infrastructures
13,IBST,Inti Bangun Sejahtera Tbk.,31 Agt 2012,1.350.904.927,Pemantauan Khusus,Infrastructures
14,ISAT,Indosat Tbk.,19 Okt 1994,32.250.810.957,Utama,Infrastructures
15,JKON,Jaya Konstruksi Manggala Prata,04 Des 2007,16.308.519.860,Utama,Infrastructures
16,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,7.257.871.200,Utama,Infrastructures
17,KARW,Meratus Jasa Prima Tbk.,20 Des 1994,587.152.700,Pemantauan Khusus,Infrastructures
18,KBLV,First Media Tbk.,25 Feb 2000,1.742.167.907,Pengembangan,Infrastructures
19,LINK,Link Net Tbk.,02 Jun 2014,2.863.195.484,Pemantauan Khusus,Infrastructures
20,META,Nusantara Infrastructure Tbk.,18 Jul 2001,17.710.708.194,Pemantauan Khusus,Infrastructures
21,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,2.496.258.344,Pengembangan,Infrastructures
22,PTPP,PP (Persero) Tbk.,09 Feb 2010,6.199.897.354,Utama,Infrastructures
23,SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,4.705.249.440,Utama,Infrastructures
24,SUPR,Solusi Tunas Pratama Tbk.,11 Okt 2011,1.137.579.698,Pemantauan Khusus,Infrastructures
25,TBIG,Tower Bersama Infrastructure T,26 Okt 2010,22.656.999.445,Utama,Infrastructures
26,TLKM,Telkom Indonesia (Persero) Tbk,14 Nov 1995,99.062.216.600,Utama,Infrastructures
27,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,3.410.000.000,Utama,Infrastructures
28,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,59.098.103.731,Utama,Infrastructures
29,WIKA,Wijaya Karya (Persero) Tbk.,29 Okt 2007,39.873.063.858,Pengembangan,Infrastructures
30,WSKT,Waskita Karya (Persero) Tbk.,19 Des 2012,28.806.807.016,Pemantauan Khusus,Infrastructures
31,IDPR,Indonesia Pondasi Raya Tbk.,10 Des 2015,2.003.000.000,Pengembangan,Infrastructures
32,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,770.000.000,Pemantauan Khusus,Infrastructures
33,OASA,Maharaksa Biru Energi Tbk.,18 Jul 2016,6.347.220.000,Pengembangan,Infrastructures
34,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,16.087.156.000,Utama,Infrastructures
35,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,3.000.000.000,Pengembangan,Infrastructures
36,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,2.813.941.985,Pengembangan,Infrastructures
37,TGRA,Terregra Asia Energy Tbk.,16 Mei 2017,2.750.000.000,Pemantauan Khusus,Infrastructures
38,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,33.330.000.000,Pemantauan Khusus,Infrastructures
39,MPOW,Megapower Makmur Tbk.,05 Jul 2017,816.997.053,Pengembangan,Infrastructures
40,GMFI,Garuda Maintenance Facility Ae,10 Okt 2017,37.565.978.976,Pemantauan Khusus,Infrastructures
41,PPRE,PP Presisi Tbk.,24 Nov 2017,10.224.271.000,Pengembangan,Infrastructures
42,WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,9.572.000.000,Pengembangan,Infrastructures
43,MORA,Mora Telematika Indonesia Tbk.,08 Agt 2022,23.646.668.691,Utama,Infrastructures
44,IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,5.284.811.100,Pengembangan,Infrastructures
45,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,1.000.000.000,Pengembangan,Infrastructures
46,GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,550.000.000,Pengembangan,Infrastructures
47,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,1.818.384.820,Utama,Infrastructures
48,MTPS,Meta Epsi Tbk.,10 Apr 2019,2.084.850.829,Pemantauan Khusus,Infrastructures
49,JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,1.082.575.738,Pengembangan,Infrastructures
50,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,3.666.312.500,Utama,Infrastructures
51,PTPW,Pratama Widya Tbk.,07 Feb 2020,878.187.500,Pengembangan,Infrastructures
52,TAMA,Lancartama Sejati Tbk.,10 Feb 2020,1.200.000.696,Pemantauan Khusus,Infrastructures
53,RONY,Aracord Nusantara Group Tbk.,09 Apr 2020,1.250.000.000,Pemantauan Khusus,Infrastructures
54,PTDU,Djasa Ubersakti Tbk.,08 Des 2020,1.500.000.000,Pemantauan Khusus,Infrastructures
55,KETR,Ketrosden Triasmitra Tbk.,11 Jan 2021,2.841.262.838,Pengembangan,Infrastructures
56,FIMP,Fimperkasa Utama Tbk.,09 Apr 2021,400.000.975,Pemantauan Khusus,Infrastructures
57,MTEL,Dayamitra Telekomunikasi Tbk.,22 Nov 2021,83.559.636.344,Utama,Infrastructures
58,SMKM,Sumber Mas Konstruksi Tbk.,09 Mar 2022,1.253.000.000,Akselerasi,Infrastructures
59,ARKO,Arkora Hydro Tbk.,08 Jul 2022,2.928.495.000,Pengembangan,Infrastructures
60,KRYA,Bangun Karya Perkasa Jaya Tbk.,25 Jul 2022,1.663.943.474,Pengembangan,Infrastructures
61,PGEO,Pertamina Geothermal Energy Tb,24 Feb 2023,41.815.763.396,Utama,Infrastructures
62,BDKR,Berdikari Pondasi Perkasa Tbk.,03 Mar 2023,4.725.101.522,Utama,Infrastructures
63,INET,Sinergi Inti Andalan Prima Tbk,24 Jul 2023,9.139.218.066,Pengembangan,Infrastructures
64,BREN,Barito Renewables Energy Tbk.,09 Okt 2023,133.786.220.000,Utama,Infrastructures
65,KOKA,Koka Indonesia Tbk.,11 Okt 2023,2.861.333.000,Pengembangan,Infrastructures
66,ASLI,Asri Karya Lestari Tbk.,05 Jan 2024,6.250.000.000,Pemantauan Khusus,Infrastructures
67,DATA,Remala Abadi Tbk.,07 Mei 2024,1.375.000.000,Pengembangan,Infrastructures
68,HGII,Hero Global Investment Tbk.,09 Jan 2025,6.500.000.000,Pengembangan,Infrastructures
69,CDIA,Chandra Daya Investasi Tbk.,09 Jul 2025,124.829.374.700,Pengembangan,Infrastructures
70,MANG,Manggung Polahraya Tbk.,11 Jan 2024,3.812.513.362,Akselerasi,Infrastructures
1,ABBA,Mahaka Media Tbk.,03 Apr 2002,3.935.892.857,Pemantauan Khusus,Consumer Cyclicals
2,ACES,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,17.120.389.700,Utama,Consumer Cyclicals
3,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,6.449.463.636,Pemantauan Khusus,Consumer Cyclicals
4,ARGO,Argo Pantes Tbk,07 Jan 1991,3.174.339.029,Pengembangan,Consumer Cyclicals
5,ARTA,Arthavest Tbk,05 Nov 2002,446.674.175,Pengembangan,Consumer Cyclicals
6,AUTO,Astra Otoparts Tbk.,15 Jun 1998,4.819.733.000,Utama,Consumer Cyclicals
7,BATA,Sepatu Bata Tbk.,24 Mar 1982,1.300.000.000,Pemantauan Khusus,Consumer Cyclicals
8,BAYU,Bayu Buana Tbk,30 Okt 1989,353.220.780,Utama,Consumer Cyclicals
9,BIMA,Primarindo Asia Infrastructure,30 Agt 1994,608.175.716,Pemantauan Khusus,Consumer Cyclicals
10,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,873.937.142,Pemantauan Khusus,Consumer Cyclicals
11,BMTR,Global Mediacom Tbk.,17 Jul 1995,16.583.997.586,Utama,Consumer Cyclicals
12,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,2.343.750.000,Pengembangan,Consumer Cyclicals
13,BRAM,Indo Kordsa Tbk.,05 Sep 1990,450.056.980,Pengembangan,Consumer Cyclicals
14,BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,20.590.473.213,Pengembangan,Consumer Cyclicals
15,CINT,Chitose Internasional Tbk.,27 Jun 2014,1.000.000.000,Pengembangan,Consumer Cyclicals
16,CNTX,Century Textile Industry Tbk.,22 Mei 1979,70.000.000,Pemantauan Khusus,Consumer Cyclicals
17,CSAP,Catur Sentosa Adiprana Tbk.,12 Des 2007,5.683.175.151,Pengembangan,Consumer Cyclicals
18,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,1.334.333.000,Pengembangan,Consumer Cyclicals
19,ERAA,Erajaya Swasembada Tbk.,14 Des 2011,15.950.000.000,Utama,Consumer Cyclicals
20,ERTX,Eratex Djaja Tbk.,21 Agt 1990,1.286.539.792,Pengembangan,Consumer Cyclicals
21,ESTI,Ever Shine Tex Tbk.,13 Okt 1992,2.015.208.720,Pemantauan Khusus,Consumer Cyclicals
22,FAST,Fast Food Indonesia Tbk.,11 Mei 1993,4.523.610.492,Pengembangan,Consumer Cyclicals
23,FORU,Fortune Indonesia Tbk,17 Jan 2002,465.224.000,Pengembangan,Consumer Cyclicals
24,GDYR,Goodyear Indonesia Tbk.,22 Des 1980,410.000.000,Pengembangan,Consumer Cyclicals
25,GEMA,Gema Grahasarana Tbk.,12 Agt 2002,1.600.000.000,Pengembangan,Consumer Cyclicals
26,GJTL,Gajah Tunggal Tbk.,08 Mei 1990,3.484.800.000,Utama,Consumer Cyclicals
27,GLOB,Globe Kita Terang Tbk.,10 Jul 2012,1.111.112.000,Pemantauan Khusus,Consumer Cyclicals
28,GWSA,Greenwood Sejahtera Tbk.,23 Des 2011,7.800.760.000,Pengembangan,Consumer Cyclicals
29,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,22.212.194.782,Pemantauan Khusus,Consumer Cyclicals
30,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,3.550.001.452,Pemantauan Khusus,Consumer Cyclicals
31,IIKP,Inti Agri Resources Tbk,14 Okt 2002,33.600.000.000,Pemantauan Khusus,Consumer Cyclicals
32,IMAS,Indomobil Sukses Internasional,15 Nov 1993,3.994.291.039,Utama,Consumer Cyclicals
33,INDR,Indo-Rama Synthetics Tbk.,03 Agt 1990,654.351.707,Pengembangan,Consumer Cyclicals
34,INDS,Indospring Tbk.,10 Agt 1990,6.562.497.100,Pengembangan,Consumer Cyclicals
35,JIHD,Jakarta International Hotels &,29 Feb 1984,2.329.040.482,Pengembangan,Consumer Cyclicals
36,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,2.318.736.000,Pengembangan,Consumer Cyclicals
37,KICI,Kedaung Indah Can Tbk,28 Okt 1993,276.000.000,Pengembangan,Consumer Cyclicals
38,KPIG,MNC Tourism Indonesia Tbk.,30 Mar 2000,97.557.129.263,Pengembangan,Consumer Cyclicals
39,LMPI,Langgeng Makmur Industri Tbk.,17 Okt 1994,1.008.517.669,Pengembangan,Consumer Cyclicals
40,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,425.000.000,Pengembangan,Consumer Cyclicals
41,LPPF,Matahari Department Store Tbk.,09 Okt 1989,2.258.279.280,Utama,Consumer Cyclicals
42,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,16.600.000.000,Utama,Consumer Cyclicals
43,MASA,Multistrada Arah Sarana Tbk.,09 Jun 2005,9.182.946.945,Pengembangan,Consumer Cyclicals
44,MDIA,Intermedia Capital Tbk.,11 Apr 2014,39.215.538.400,Pemantauan Khusus,Consumer Cyclicals
45,MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,3.410.510.957,Pemantauan Khusus,Consumer Cyclicals
46,MICE,Multi Indocitra Tbk.,21 Des 2005,600.000.000,Pengembangan,Consumer Cyclicals
47,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,15.049.787.710,Utama,Consumer Cyclicals
48,MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4.386.963.276,Utama,Consumer Cyclicals
49,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,1.994.370.480,Pengembangan,Consumer Cyclicals
50,MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,7.747.281.949,Pemantauan Khusus,Consumer Cyclicals
51,PANR,Panorama Sentrawisata Tbk.,18 Sep 2001,1.387.500.000,Utama,Consumer Cyclicals
52,PBRX,Pan Brothers Tbk.,16 Agt 1990,21.482.028.246,Pemantauan Khusus,Consumer Cyclicals
53,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,715.000.000,Pengembangan,Consumer Cyclicals
54,PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,488.000.000,Pemantauan Khusus,Consumer Cyclicals
55,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,1.599.999.996,Pengembangan,Consumer Cyclicals
56,PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,797.813.496,Pengembangan,Consumer Cyclicals
57,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,2.495.753.334,Pemantauan Khusus,Consumer Cyclicals
58,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,10.351.231.636,Pemantauan Khusus,Consumer Cyclicals
59,PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,220.808.000,Pengembangan,Consumer Cyclicals
60,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,7.096.000.000,Utama,Consumer Cyclicals
61,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,641.717.510,Pemantauan Khusus,Consumer Cyclicals
62,SCMA,Surya Citra Media Tbk.,16 Jul 2002,73.970.569.505,Utama,Consumer Cyclicals
63,SHID,Hotel Sahid Jaya International,08 Mei 1990,1.119.326.168,Pengembangan,Consumer Cyclicals
64,SMSM,Selamat Sempurna Tbk.,09 Sep 1996,5.758.675.440,Utama,Consumer Cyclicals
65,SONA,Sona Topas Tourism Industry Tb,21 Jul 1992,662.400.000,Pengembangan,Consumer Cyclicals
66,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,20.452.176.844,Pemantauan Khusus,Consumer Cyclicals
67,SSTM,Sunson Textile Manufacture Tbk,20 Agt 1997,1.170.909.181,Pengembangan,Consumer Cyclicals
68,TELE,Omni Inovasi Indonesia Tbk.,12 Jan 2012,7.310.929.389,Pemantauan Khusus,Consumer Cyclicals
69,TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,4.823.076.400,Pemantauan Khusus,Consumer Cyclicals
70,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,1.058.333.250,Pengembangan,Consumer Cyclicals
71,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,26.007.494.645,Pemantauan Khusus,Consumer Cyclicals
72,TRIS,Trisula International Tbk.,28 Jun 2012,3.141.443.831,Pengembangan,Consumer Cyclicals
73,UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002,75.422.200,Pengembangan,Consumer Cyclicals
74,VIVA,Visi Media Asia Tbk.,21 Nov 2011,16.464.270.400,Pemantauan Khusus,Consumer Cyclicals
75,JGLE,Graha Andrasentra Propertindo ,29 Jun 2016,22.581.909.405,Pemantauan Khusus,Consumer Cyclicals
76,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,5.252.644.000,Pemantauan Khusus,Consumer Cyclicals
77,MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,5.500.000.000,Pemantauan Khusus,Consumer Cyclicals
78,BOGA,Bintang Oto Global Tbk.,19 Des 2016,3.803.526.210,Pengembangan,Consumer Cyclicals
79,CARS,Industri dan Perdagangan Bintr,10 Apr 2017,15.000.000.000,Utama,Consumer Cyclicals
80,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,9.843.750.000,Pengembangan,Consumer Cyclicals
81,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,2.387.922.900,Pengembangan,Consumer Cyclicals
82,WOOD,Integra Indocabinet Tbk.,21 Jun 2017,6.437.500.000,Utama,Consumer Cyclicals
83,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,4.605.262.400,Utama,Consumer Cyclicals
84,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,15.365.229.912,Pemantauan Khusus,Consumer Cyclicals
85,BELL,Trisula Textile Industries Tbk,03 Okt 2017,7.250.000.000,Pengembangan,Consumer Cyclicals
86,DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,1.899.852.850,Pengembangan,Consumer Cyclicals
87,PZZA,Sarimelati Kencana Tbk.,23 Mei 2018,3.021.875.000,Pengembangan,Consumer Cyclicals
88,MSIN,MNC Digital Entertainment Tbk.,08 Jun 2018,60.676.178.205,Utama,Consumer Cyclicals
89,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,28.504.000.000,Utama,Consumer Cyclicals
90,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,7.700.000.148,Pemantauan Khusus,Consumer Cyclicals
91,FILM,MD Entertainment Tbk.,07 Agt 2018,10.887.566.758,Utama,Consumer Cyclicals
92,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,1.625.000.000,Pemantauan Khusus,Consumer Cyclicals
